month,ii,jj,count_positions,n_individuals,lat,lon
2009-06,25,29,1,1,24.375,-90.625
2009-06,27,30,1,1,24.875,-90.375
2009-06,27,31,1,1,24.875,-90.125
2009-06,28,31,2,1,25.125,-90.125
2009-06,29,31,1,1,25.375,-90.125
2009-06,30,31,1,1,25.625,-90.125
2009-06,31,31,3,1,25.875,-90.125
2009-06,32,31,2,1,26.125,-90.125
2009-06,33,30,1,1,26.375,-90.375
2009-06,34,23,2,1,26.625,-92.125
2009-06,34,24,1,1,26.625,-91.875
2009-06,35,24,1,1,26.875,-91.875
2009-06,35,26,1,1,26.875,-91.375
2009-06,35,29,1,1,26.875,-90.625
2009-06,36,24,6,1,27.125,-91.875
2009-06,36,29,1,1,27.125,-90.625
2009-06,37,25,1,1,27.375,-91.625
2009-06,37,28,1,1,27.375,-90.875
2009-06,37,29,1,1,27.375,-90.625
2009-06,38,23,1,1,27.625,-92.125
2009-06,38,24,1,1,27.625,-91.875
2009-06,38,26,2,1,27.625,-91.375
2009-06,38,27,1,1,27.625,-91.125
2009-06,39,28,2,1,27.875,-90.875
2009-06,40,28,4,2,28.125,-90.875
2009-07,25,2,8,1,24.375,-97.375
2009-07,25,3,2,1,24.375,-97.125
2009-07,25,29,4,1,24.375,-90.625
2009-07,26,2,3,1,24.625,-97.375
2009-07,26,3,1,1,24.625,-97.125
2009-07,27,3,3,1,24.875,-97.125
2009-07,27,29,1,1,24.875,-90.625
2009-07,28,30,1,1,25.125,-90.375
2009-07,29,4,1,1,25.375,-96.875
2009-07,30,31,2,1,25.625,-90.125
2009-07,31,5,1,1,25.875,-96.625
2009-07,31,31,1,1,25.875,-90.125
2009-07,31,32,1,1,25.875,-89.875
2009-07,32,32,2,1,26.125,-89.875
2009-07,33,6,1,1,26.375,-96.375
2009-07,33,31,2,1,26.375,-90.125
2009-07,34,9,1,1,26.625,-95.625
2009-07,34,31,2,1,26.625,-90.125
2009-07,34,32,3,1,26.625,-89.875
2009-07,35,11,1,1,26.875,-95.125
2009-07,35,32,1,1,26.875,-89.875
2009-07,36,13,1,1,27.125,-94.625
2009-07,37,14,1,1,27.375,-94.375
2009-07,37,16,1,1,27.375,-93.875
2009-07,37,32,1,1,27.375,-89.875
2009-07,38,18,1,1,27.625,-93.375
2009-07,38,20,1,1,27.625,-92.875
2009-07,38,21,2,1,27.625,-92.625
2009-07,38,22,1,1,27.625,-92.375
2009-07,38,33,1,1,27.625,-89.625
2009-07,39,20,1,1,27.875,-92.875
2009-07,39,34,1,1,27.875,-89.375
2009-07,41,36,1,1,28.375,-88.875
2009-07,42,39,3,1,28.625,-88.125
2009-07,42,40,1,1,28.625,-87.875
2009-07,42,41,1,1,28.625,-87.625
2009-07,43,42,1,1,28.875,-87.375
2009-07,45,46,1,1,29.375,-86.375
2009-08,18,2,2,1,22.625,-97.375
2009-08,19,2,3,1,22.875,-97.375
2009-08,19,3,1,1,22.875,-97.125
2009-08,20,2,2,1,23.125,-97.375
2009-08,20,4,1,1,23.125,-96.875
2009-08,21,2,5,1,23.375,-97.375
2009-08,21,4,1,1,23.375,-96.875
2009-08,21,5,1,1,23.375,-96.625
2009-08,22,2,1,1,23.625,-97.375
2009-08,22,5,1,1,23.625,-96.625
2009-08,23,2,3,1,23.875,-97.375
2009-08,23,6,1,1,23.875,-96.375
2009-08,24,2,2,1,24.125,-97.375
2009-08,24,6,1,1,24.125,-96.375
2009-08,25,2,1,1,24.375,-97.375
2009-08,26,2,1,1,24.625,-97.375
2009-08,26,3,4,1,24.625,-97.125
2009-08,45,47,1,1,29.375,-86.125
2009-09,25,7,1,1,24.375,-96.125
2009-09,25,8,1,1,24.375,-95.875
2009-09,26,8,1,1,24.625,-95.875
2009-09,26,9,2,1,24.625,-95.625
2009-09,27,9,4,1,24.875,-95.625
2009-09,27,10,2,1,24.875,-95.375
2009-09,28,9,2,1,25.125,-95.625
2009-09,29,8,1,1,25.375,-95.875
2009-09,31,9,1,1,25.875,-95.625
2009-09,32,10,1,1,26.125,-95.375
2009-09,33,9,1,1,26.375,-95.625
2009-09,34,9,1,1,26.625,-95.625
2009-09,35,9,1,1,26.875,-95.625
2009-09,35,10,2,1,26.875,-95.375
2009-09,35,11,6,1,26.875,-95.125
2009-09,36,10,1,1,27.125,-95.375
2009-09,36,11,1,1,27.125,-95.125
2009-09,37,10,1,1,27.375,-95.375
2009-10,32,24,3,1,26.125,-91.875
2009-10,34,23,1,1,26.625,-92.125
2009-10,35,16,1,1,26.875,-93.875
2009-10,36,14,1,1,27.125,-94.375
2009-10,36,16,1,1,27.125,-93.875
2009-10,36,17,1,1,27.125,-93.625
2009-10,36,20,1,1,27.125,-92.875
2009-10,37,10,5,1,27.375,-95.375
2009-10,37,11,3,1,27.375,-95.125
2009-10,37,18,1,1,27.375,-93.375
2010-06,40,26,4,1,28.125,-91.375
2010-06,40,27,9,2,28.125,-91.125
2010-06,40,28,10,2,28.125,-90.875
2010-06,40,29,1,1,28.125,-90.625
2010-06,41,25,3,1,28.375,-91.625
2010-06,41,28,1,1,28.375,-90.875
2010-07,35,25,1,1,26.875,-91.625
2010-07,35,26,1,1,26.875,-91.375
2010-07,36,26,1,1,27.125,-91.375
2010-07,37,26,1,1,27.375,-91.375
2010-07,38,25,1,1,27.625,-91.625
2010-07,39,24,1,1,27.875,-91.875
2010-08,33,23,1,1,26.375,-92.125
2010-08,33,24,1,1,26.375,-91.875
2010-08,33,25,1,1,26.375,-91.625
2010-08,33,26,1,1,26.375,-91.375
2010-08,34,23,1,1,26.625,-92.125
2010-08,34,27,1,1,26.625,-91.125
2010-08,35,21,3,1,26.875,-92.625
2010-08,35,22,3,1,26.875,-92.375
2010-08,35,27,1,1,26.875,-91.125
2010-08,36,19,1,1,27.125,-93.125
2010-08,36,20,2,1,27.125,-92.875
2010-08,36,21,1,1,27.125,-92.625
2010-08,36,28,1,1,27.125,-90.875
2010-08,37,18,1,1,27.375,-93.375
2010-08,37,24,1,1,27.375,-91.875
2010-08,37,28,1,1,27.375,-90.875
2010-08,38,23,1,1,27.625,-92.125
2010-08,38,24,1,1,27.625,-91.875
2010-08,38,25,1,1,27.625,-91.625
